1,CREATE_AGENT,CREATE_AGENT
2,VIEW_AGENT,VIEW_AGENT
3,UPDATE_AGENT,UPDATE_AGENT
4,DELETE_AGENT,DELETE_AGENT
5,CREATE_AUDIT_TRAIL,CREATE_AUDIT_TRAIL
6,VIEW_AUDIT_TRAIL,VIEW_AUDIT_TRAIL
7,UPDATE_AUDIT_TRAIL,UPDATE_AUDIT_TRAIL
8,DELETE_AUDIT_TRAIL,DELETE_AUDIT_TRAIL
9,CREATE_BANK,CREATE_BANK
10,VIEW_BANK,VIEW_BANK
11,UPDATE_BANK,UPDATE_BANK
12,DELETE_BANK,DELETE_BANK
13,CREATE_BILLER,CREATE_BILLER
14,VIEW_BILLER,VIEW_BILLER
15,UPDATE_BILLER,UPDATE_BILLER
16,DELETE_BILLER,DELETE_BILLER
17,CREATE_DEVICE,CREATE_DEVICE
18,VIEW_DEVICE,VIEW_DEVICE
19,UPDATE_DEVICE,UPDATE_DEVICE
20,DELETE_DEVICE,DELETE_DEVICE
21,APPROVE_DISBURSEMENT,APPROVE_DISBURSEMENT
22,BULK_REGISTRATION,BULK_REGISTRATION
23,INITIATE_DISBURSEMENT,INITIATE_DISBURSEMENT
24,CREATE_OPERATOR,CREATE_OPERATOR
25,VIEW_OPERATOR,VIEW_OPERATOR
26,UPDATE_OPERATOR,UPDATE_OPERATOR
27,DELETE_OPERATOR,DELETE_OPERATOR
28,CREATE_PRODUCT,CREATE_PRODUCT
29,VIEW_PRODUCT,VIEW_PRODUCT
30,UPDATE_PRODUCT,UPDATE_PRODUCT
31,DELETE_PRODUCT,DELETE_PRODUCT
32,CREATE_SUBSCRIBER,CREATE_SUBSCRIBER
33,VIEW_SUBSCRIBER,VIEW_SUBSCRIBER
34,UPDATE_SUBSCRIBER,UPDATE_SUBSCRIBER
35,DELETE_SUBSCRIBER,DELETE_SUBSCRIBER
36,CREATE_AGENT_COMMISSION,CREATE_AGENT_COMMISSION
37,VIEW_AGENT_COMMISSION,VIEW_AGENT_COMMISSION
38,UPDATE_AGENT_COMMISSION,UPDATE_AGENT_COMMISSION
39,DELETE_AGENT_COMMISSION,DELETE_AGENT_COMMISSION
40,CREATE_AGENT_FEE,CREATE_AGENT_FEE
41,VIEW_AGENT_FEE,VIEW_AGENT_FEE
42,UPDATE_AGENT_FEE,UPDATE_AGENT_FEE
43,DELETE_AGENT_FEE,DELETE_AGENT_FEE
44,CREATE_AGENT_LIMIT,CREATE_AGENT_LIMIT
45,VIEW_AGENT_LIMIT,VIEW_AGENT_LIMIT
46,UPDATE_AGENT_LIMIT,UPDATE_AGENT_LIMIT
47,DELETE_AGENT_LIMIT,DELETE_AGENT_LIMIT
48,CREATE_AGENT_PROFILE,CREATE_AGENT_PROFILE
49,VIEW_AGENT_PROFILE,VIEW_AGENT_PROFILE
50,UPDATE_AGENT_PROFILE,UPDATE_AGENT_PROFILE
51,DELETE_AGENT_PROFILE,DELETE_AGENT_PROFILE
52,CREATE_AGENT_VELOCITY,CREATE_AGENT_VELOCITY
53,VIEW_AGENT_VELOCITY,VIEW_AGENT_VELOCITY
54,UPDATE_AGENT_VELOCITY,UPDATE_AGENT_VELOCITY
55,DELETE_AGENT_VELOCITY,DELETE_AGENT_VELOCITY
56,CREATE_SUBSCRIBER_FEE,CREATE_SUBSCRIBER_FEE
57,VIEW_SUBSCRIBER_FEE,VIEW_SUBSCRIBER_FEE
58,UPDATE_SUBSCRIBER_FEE,UPDATE_SUBSCRIBER_FEE
59,DELETE_SUBSCRIBER_FEE,DELETE_SUBSCRIBER_FEE
60,CREATE_SUBSCRIBER_LIMIT,CREATE_SUBSCRIBER_LIMIT
61,VIEW_SUBSCRIBER_LIMIT,VIEW_SUBSCRIBER_LIMIT
62,UPDATE_SUBSCRIBER_LIMIT,UPDATE_SUBSCRIBER_LIMIT
63,DELETE_SUBSCRIBER_LIMIT,DELETE_SUBSCRIBER_LIMIT
64,CREATE_SUBSCRIBER_PROFILE,CREATE_SUBSCRIBER_PROFILE
65,VIEW_SUBSCRIBER_PROFILE,VIEW_SUBSCRIBER_PROFILE
66,UPDATE_SUBSCRIBER_PROFILE,UPDATE_SUBSCRIBER_PROFILE
67,DELETE_SUBSCRIBER_PROFILE,DELETE_SUBSCRIBER_PROFILE
68,CREATE_SUBSCRIBER_VELOCITY,CREATE_SUBSCRIBER_VELOCITY
69,VIEW_SUBSCRIBER_VELOCITY,VIEW_SUBSCRIBER_VELOCITY
70,UPDATE_SUBSCRIBER_VELOCITY,UPDATE_SUBSCRIBER_VELOCITY
71,DELETE_SUBSCRIBER_VELOCITY,DELETE_SUBSCRIBER_VELOCITY
72,CREATE_TRANSACTION_TYPE,CREATE_TRANSACTION_TYPE
73,VIEW_TRANSACTION_TYPE,VIEW_TRANSACTION_TYPE
74,UPDATE_TRANSACTION_TYPE,UPDATE_TRANSACTION_TYPE
75,DELETE_TRANSACTION_TYPE,DELETE_TRANSACTION_TYPE
76,VIEW_TRANSACTION_REPORT,VIEW_TRANSACTION_REPORT
77,VIEW_TRANSACTION_SUMMARY,VIEW_TRANSACTION_SUMMARY
